sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"Under the pact , Ashland will treat the contaminated soil , and it will pump and treat ground water to meet drinking - water standards , among other things ",0,14,pump,verb,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes ",0,26,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"A Texas Air spokesman declines to say what income , if any , the parent company is drawing from this flourishing new unit ",0,20,flourish,verb,"(of a living organism) grow or develop in a healthy or vigorous way, especially as the result of a particularly congenial environment.",wild plants flourish on the banks of the lake
"After an initial advance , the market stumbled briefly as investors responded to its strength by taking profits ",0,7,stumble,verb,Trip or momentarily lose one's balance; almost fall.,her foot caught in the rug and she stumbled
"Like tiny beacons at night , alligators ' eyes reflect a brilliant red when struck by a beam of light ",0,14,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"If the latest auditors ' recommendation is adopted , Illinois Power could add $ 1.84 billion to its rate base , but apparently would have to absorb the balance ",0,26,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"Dave Hoover rolls his 400-pound minijet above the air - show crowd , swooping to within a dozen feet of the runway and popping his landing gear in and out ",0,2,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"For the superstitious , Ms. Frese explains , it 's supposed to ward off evil : Legend holds that witches ca n't touch it and survive ",0,22,touch,verb,Come into or be in contact with.,he leaned back so that only two legs of his chair touched the floor
"Automatic transmissions of all makes are sometimes mis - shifted by careless drivers , it says , adding that its later models were n't fixed , just refined ",0,24,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
"For a time , the OSHA news releases rolled off the presses with regularity ",0,8,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"MISSED CONNECTIONS : If you 're bound for Denver but get stuck in Detroit for the night because of a missed connection , do n't expect the airline to help ",0,20,miss,verb,"Fail to hit, reach, or come into contact with (something aimed at)",a laser-guided bomb had missed its target
"What I can say is that these things are inexplicably beautiful , as is almost always the case in Mr. Wilson 's work ; that Mr. Muller 's text , in the translation of Carl Weber , keeps finding new ways to express the contradictions of the human spirit ; and that '' Quartet '' seems to flow through its two - hour running time like a shifting stream of hot lava -- you do n't know where it 's going next , but you want to be sure and leave it plenty of room ",0,57,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
Spanish - speaking television is flourishing as well -- providing better opportunities to reach the Hispanic audience ,0,5,flourish,verb,"(of a living organism) grow or develop in a healthy or vigorous way, especially as the result of a particularly congenial environment.",wild plants flourish on the banks of the lake
"Legend holds that the Jew immediately rode out of town , realizing that he was no match for such a shrewd population ",0,6,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"'' This is a place to come for a better life , '' she says , as her troupe of tiny vendors surrounds tourists stepping off a bus ",0,24,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
